project,min_date,max_date,max_date_minus
Marak_faker.js,2010-05-15 00:56:10,2017-07-19 07:42:14,2017-01-19 07:42:14
dotnet_corefx,2014-11-10 23:29:01,2017-07-25 07:37:55,2017-01-25 07:37:55
HannahMitt_HomeMirror,2015-08-23 03:20:08,2017-06-14 03:23:49,2016-12-14 03:23:49
ubuwaits_beautiful-web-type,2012-01-12 05:25:16,2017-06-29 11:58:31,2016-12-29 11:58:31
chrisbanes_cheesesquare,2015-05-28 22:54:34,2017-07-12 12:19:01,2017-01-12 12:19:01
nathanmarz_storm,2011-09-17 07:48:10,2017-03-05 19:16:37,2016-09-05 19:16:37
elastic_logstash,2009-08-05 01:01:23,2017-07-23 11:25:58,2017-01-23 11:25:58
joewalnes_websocketd,2013-02-14 15:22:25,2017-07-20 08:24:59,2017-01-20 08:24:59
cayleygraph_cayley,2014-06-20 22:21:47,2017-07-17 07:49:19,2017-01-17 07:49:19
SignalR_SignalR,2011-07-22 05:19:36,2017-07-22 23:29:29,2017-01-22 23:29:29
bang590_JSPatch,2015-05-25 02:37:22,2017-07-22 07:39:29,2017-01-22 07:39:29
amix_vimrc,2012-05-29 16:19:29,2017-07-21 00:36:31,2017-01-21 00:36:31
philipwalton_solved-by-flexbox,2013-08-31 23:04:15,2017-07-13 08:55:17,2017-01-13 08:55:17
marionettejs_backbone.marionette,2011-12-12 16:35:12,2017-07-23 08:00:00,2017-01-23 08:00:00
sindresorhus_quick-look-plugins,2013-12-07 15:43:28,2017-05-28 06:23:17,2016-11-28 06:23:17
loverajoel_jstips,2015-12-19 20:44:21,2017-07-02 21:22:52,2017-01-02 21:22:52
goldfire_howler.js,2013-01-28 16:46:20,2017-07-22 18:10:28,2017-01-22 18:10:28
rupa_z,2009-06-19 05:15:33,2017-07-14 18:34:36,2017-01-14 18:34:36
prometheus_prometheus,2012-11-24 11:14:12,2017-07-23 18:59:56,2017-01-23 18:59:56
loopj_android-async-http,2011-02-20 03:26:52,2017-07-24 10:27:40,2017-01-24 10:27:40
avajs_ava,2014-11-18 17:19:12,2017-07-23 16:11:24,2017-01-23 16:11:24
pouchdb_pouchdb,2010-06-10 20:35:26,2017-07-23 19:31:42,2017-01-23 19:31:42
fxsjy_jieba,2012-09-29 07:54:04,2017-07-20 07:58:34,2017-01-20 07:58:34
paularmstrong_normalizr,2014-08-20 08:41:38,2017-07-21 21:26:07,2017-01-21 21:26:07
facebook_infer,2015-05-22 13:25:28,2017-07-22 01:39:23,2017-01-22 01:39:23
keystonejs_keystone,2013-07-02 05:01:55,2017-07-22 17:16:58,2017-01-22 17:16:58
mozilla_BrowserQuest,2011-10-03 15:29:20,2017-07-14 03:19:10,2017-01-14 03:19:10
fronteed_icheck,2013-02-25 21:09:26,2017-07-23 06:07:44,2017-01-23 06:07:44
fgnass_spin.js,2011-08-16 10:11:36,2017-07-20 08:25:17,2017-01-20 08:25:17
ducksboard_gridster.js,2012-07-18 16:31:44,2017-07-14 12:39:01,2017-01-14 12:39:01
clojure_clojure,2006-03-24 14:49:31,2017-05-26 20:03:47,2016-11-26 20:03:47
jaredhanson_passport,2011-10-08 22:40:46,2017-07-24 03:14:08,2017-01-24 03:14:08
thejameskyle_the-super-tiny-compiler,2016-03-30 23:36:55,2017-05-31 19:48:50,2016-11-30 19:48:50
mxgmn_WaveFunctionCollapse,2016-09-30 10:52:48,2017-07-22 13:41:12,2017-01-22 13:41:12
jiahaog_nativefier,2015-03-23 02:51:19,2017-07-22 07:45:04,2017-01-22 07:45:04
parkjs814_AlgorithmVisualizer,2016-05-15 00:33:52,2017-06-12 16:40:20,2016-12-12 16:40:20
uxsolutions_bootstrap-datepicker,2012-03-05 19:47:58,2017-07-24 07:36:35,2017-01-24 07:36:35
stedolan_jq,2012-07-18 19:57:59,2017-07-21 14:24:41,2017-01-21 14:24:41
onevcat_VVDocumenter-Xcode,2013-07-16 09:58:02,2017-07-20 22:25:23,2017-01-20 22:25:23
ConnorAtherton_loaders.css,2014-12-31 21:05:05,2017-05-26 10:26:15,2016-11-26 10:26:15
